title,price,link,size,bedrooms,parking_spaces,bathrooms
APTO 52m2 VILA LIVIEIRO,373000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-sp-sao-paulo-vila-liviero-52m2-RS373000/id-25782761/,52,2.0,1.0,2.0
"Apartamento com 3 dormitorios a venda, 87 m2 por R$ 525.000,00 - Santana - Sao Paulo/SP",525000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-3-quartos-com-garagem-sp-sao-paulo-santana-87m2-RS525000/id-18490335/,87,3.0,1.0,1.0
"Empreendimento Patio Central 2 dorm, 36 a 44m2  com opcao de suite",359900,https://www.chavesnamao.com.br/lancamento/empreendimento-patio-central-2-dorm-36-a-44m2-com-opcao-de-suite/id-27456495/,36,2.0,1.0,1.0
"Apto a venda c/ 80 metros quadrados, 2 dmts em Higienopolis/Vila Buarque - Sao Paulo - SP",630000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-sp-sao-paulo-vila-buarque-RS630000/id-27991133/,80,2.0,1.0,
Oportunidade em Itaquera! Apartamentos de 2 Dorms com ou sem Vaga a partir de R$ 220 Mil,220000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-sp-sao-paulo-itaquera-RS220000/id-29777756/,38,2.0,1.0,1.0
"Super lancamento minha casa minha, minha vida ao lado do Metro Barra funda.",279900,https://www.chavesnamao.com.br/lancamento/super-lancamento-minha-casa-minha-minha-vida-ao-lado-do-metro-barra-funda-/id-29336961/,37,2.0,1.0,
"Apartamento com 2 quartos a venda na Vila Prudente, Sao Paulo , 66 m2 por R$ 600.000",600000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-sp-sao-paulo-vila-prudente-RS600000/id-28843273/,66,2.0,1.0,2.0
"APARTAMENTO COM 3 SUITES A VENDA, 131 M2 POR R$ 1.900.000 - VILA GUMERCINDO - Sao Paulo/SP",1900000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-3-quartos-com-garagem-sp-sao-paulo-vila-gumercindo-131m2-RS1900000/id-18913996/,131,3.0,2.0,4.0
Apartamento Lapa - Barra Funda,239000,https://www.chavesnamao.com.br/lancamento/apartamento-lapa-barra-funda/id-28495860/,45,2.0,1.0,1.0
"Apartamento para Venda em Sao Paulo, Liberdade, 2 dormitorios, 1 suite, 2 banheiros, 1 vaga",480000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-sp-sao-paulo-liberdade-54m2-RS480000/id-26640298/,54,2.0,1.0,2.0
Apartamento a venda no Condominio Villagio Di Veneto - Sorocaba,300000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-sp-sao-paulo-jaragua-50m2-RS300000/id-29367000/,50,2.0,1.0,1.0
Conjunto Habitacional Vibra Marechal Tito,205000,https://www.chavesnamao.com.br/lancamento/conjunto-habitacional-vibra-marechal-tito/id-28372046/,32,2.0,1.0,
Apartamento Alto Padrao no coracao do Ipiranga,2850000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-3-quartos-com-garagem-sp-sao-paulo-ipiranga-213m2-RS2850000/id-14115081/,213,3.0,3.0,5.0
Apartamento a venda no Jardim Sao Saverio,170000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-sp-sao-paulo-jardim-sao-saverio-45m2-RS170000/id-24826353/,45,2.0,1.0,
Apartamentos a venda em Sao Miguel Paulista - Pronto pra Morar - Melhor Preco,196900,https://www.chavesnamao.com.br/lancamento/apartamentos-a-venda-em-sao-miguel-paulista-pronto-pra-morar-melhor-preco/id-25630271/,36,2.0,1.0,
Vende-se Apartamento no Centro de Sao paulo,307000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-1-quarto-com-garagem-sp-sao-paulo-centro-25m2-RS307000/id-29772987/,25,1.0,1.0,1.0
*APARTAMENTO 61m2 Pirituba : TROCA COM IMOVEL residencial ou comercial! - AP6717,315000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-sp-sao-paulo-vila-pirituba-61m2-RS315000/id-28164328/,61,2.0,1.0,1.0
MODO POMPEIA DO SEU JEITO DE SER,508000,https://www.chavesnamao.com.br/lancamento/modo-pompeia-do-seu-jeito-de-ser/id-29669155/,31,1.0,1.0,
"Apartamento com 3 quartos a venda na Mooca, Sao Paulo  por R$ 628.000",628000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-3-quartos-com-garagem-sp-sao-paulo-mooca-74m2-RS628000/id-16271250/,74,3.0,1.0,2.0
APARTAMENTO EM MOEMA COM 4 DORMITORIOS,4250000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-4-quartos-com-garagem-sp-sao-paulo-moema-215m2-RS4250000/id-28998255/,215,4.0,4.0,4.0
"Apartamento com 3 dormitorios a venda, 70 m2 por R$ 440.000 - Vila Dalila - Sao Paulo/SP",440000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-3-quartos-com-garagem-sp-sao-paulo-vila-dalila-80m2-RS440000/id-26704600/,70,3.0,1.0,1.0
"Apartamento com 1 quarto a venda na Rua Bela Cintra, 672, Consolacao, Sao Paulo, 28 m2 por R$ 450.000",450000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-1-quarto-com-garagem-sp-sao-paulo-consolacao-28m2-RS450000/id-28825143/,28,1.0,1.0,1.0
"Lindo Apartamento Loft de 95 metros quadrados na Vila Olimpia, Sao Paulo!",2600000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-sp-sao-paulo-vila-olimpia-RS2600000/id-16861360/,95,2.0,2.0,2.0
"Apartamento mobiliado com 2 suites a venda, 106 metros quadrados e 2 vagas - Aclimacao, Sao Paulo/SP",2450000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-sp-sao-paulo-aclimacao-106m2-RS2450000/id-24180862/,106,2.0,2.0,3.0
Apartamento em Sao Paulo,420000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-3-quartos-sp-sao-paulo-loteamento-city-jaragua-RS420000/id-6565846/,3,1.0,,
"Apartamento Alto Padrao para Venda em Sao Paulo, Vila Ester (Zona Norte), 4 dormitorios, 4 suites, 6 banheiros, 5 vagas",9700000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-4-quartos-com-garagem-sp-sao-paulo-vila-ester-zona-norte-320m2-RS9700000/id-25395849/,297,4.0,5.0,6.0
Vende _ se lindo apartamento no jd marajoara laser completo,450000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-sp-sao-paulo-jardim-taquaral-RS450000/id-29818752/,70,2.0,1.0,1.0
"Agradavel apartamento tipo para venda com 1 quarto, 33m2",499000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-1-quarto-sp-sao-paulo-mirandopolis-RS499000/id-26845466/,33,1.0,1.0,
Apartamentos de 1 e 2 dormitorios com opcao de vaga suite e varanda !,250000,https://www.chavesnamao.com.br/lancamento/apartamentos-de-1-e-2-dormitorios-com-opcao-de-vaga-suite-e-varanda-/id-26243354/,34,2.0,1.0,1.0
Apartamento de 40m2 com 2 quartos em Parque Peruche,220000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-sp-sao-paulo-parque-peruche-40m2-RS220000/id-28330703/,40,2.0,1.0,
Venda apartamento no Morumbi,950000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-3-quartos-com-garagem-sp-sao-paulo-morumbi-180m2-RS950000/id-27046553/,180,3.0,2.0,3.0
"Lancamento MCMV Conect Joao Dias / Santo Amaro.  2 ou 3 Dormitorios  Suite, varanda e opcao de vaga.  Plantas de 31 a 52 m2.  Antecipe-se ao lancamento, ja estamos montando pastas! Rua Missionarios  6",248000,https://www.chavesnamao.com.br/lancamento/lancamento-mcmv-conect-joao-dias-santo-amaro-2-ou-3-dormitorios-suite-varanda-e-opcao-de-vaga-plantas-de-31-a-52-m-antecipe-se-ao-lancamento-ja-estamos-montando-pastas-rua-missionarios-6/id-23900882/,31,3.0,1.0,1.0
"Apartamento pequeno 1 dormitorio grande, e elevador.",230000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-1-quarto-sp-sao-paulo-bortolandia-32m2-RS230000/id-26527636/,30,1.0,1.0,
"APARTAMENTO A VENDA - VL CARDOSO FRANCO - 2 QUARTOS - 50M2 - R$ 230.000,00",230000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-sp-sao-paulo-conjunto-residencial-sitio-oratorio-50m2-RS230000/id-28311258/,50,2.0,1.0,1.0
LINDO LANCAMENTO NA BARRA FUNDA '' MCMV,198000,https://www.chavesnamao.com.br/lancamento/lindo-lancamento-na-barra-funda-mcmv/id-29365829/,36,2.0,1.0,
